Temperature,Duration,Truss_number,MEAN_viable,MEAN_unviable,MEAN_pollen_number,MEAN_viability,MEAN_pollen_number_flower,MEAN_germinated,MEAN_non_germinated,MEAN_germinated_fraction,MEAN_number_fruits,MEAN_fraction_fruit_set,MEAN_weight_individual,MEAN_fruit_weighted,MEAN_weight_all_fruits,MEAN_average_fruit_weight,MEAN_number_seeds,MEAN_germination_flower
14C,4d,T1,79,6.229166667,85.22916667,0.933943728,42614.58333,19.66666667,53.5,0.264845948,7.333333333,0.814814815,3.323888889,2,24.04611111,3.218030203,16.27777778,9833.333333
14C,4d,T2,54.47916667,7.208333333,61.6875,0.879734062,30843.75,15.625,52.75,0.237208076,6.166666667,0.685185185,3.040555556,2.166666667,17.69333333,3.036892416,11.77777778,7812.5
14C,4d,T3,61.9375,6.3125,68.25,0.905010663,34125,14.875,69.41666667,0.195807615,6.366666667,0.707407408,2.999111111,1.944444444,18.35233333,2.921645503,18.67777778,7437.5
14C,6d,T1,80.64583333,10.625,91.27083333,0.863515174,45635.41667,12.29166667,67.08333333,0.155870909,6.922222222,0.769135803,3.529111111,2.077777778,21.81933333,3.06595216,20.08888889,6145.833333
14C,6d,T2,61.58333333,14.22916667,75.8125,0.739937549,37906.25,20.79166667,62.625,0.239525487,6.333333333,0.703703704,2.87,2.111111111,18.51388889,2.934235891,16.11111111,10395.83333
14C,6d,T3,50.41666667,19.14583333,69.5625,0.688269818,34781.25,15.5,73,0.172581161,5.977777778,0.664197531,2.793666667,1.988888889,16.63466667,2.85483254,22.4,7750
14C,8d,T1,66.95833333,9.375,76.33333333,0.826808972,38166.66667,7.25,48.25,0.136459507,6.055555556,0.672839506,3.377222222,2.5,18.61444444,2.925262346,20.17777778,3625
14C,8d,T2,61.64583333,13.64583333,75.29166667,0.773026542,37645.83333,13.45833333,62.33333333,0.163714143,6.322222222,0.702469136,2.590555556,2.266666667,17.29155556,2.769462919,13.53333333,6729.166667
14C,8d,T3,55.5,25.52083333,81.02083333,0.684793253,40510.41667,15.45833333,96.04166667,0.142804473,6.133333333,0.681481482,2.586666667,2.466666667,17.08333333,2.634503968,11,7729.166667
18C,0d,T1,130.75,11.72222222,142.4722222,0.9280414,71236.11111,22.76388889,48.48611111,0.324029435,7.866666667,0.874074074,4.681,2.033333333,38.0435,5.631926587,25.6,10437.5
18C,0d,T2,117.8472222,6.527777778,124.375,0.941088433,62187.5,20.30555556,50.04166667,0.28896656,7.983333333,0.887037037,5.264333333,1.9,34.93216667,4.332965344,34.76666667,9312.5
18C,0d,T3,124.2430556,5.25,129.4930556,0.954965742,64746.52778,25.02777778,53.61111111,0.322922794,7.388888889,0.77962963,4.071833333,2,28.50583333,3.86640884,23.33333333,11604.16667
30C,1d,T1,93.66666667,11.77083333,105.4375,0.886139483,52718.75,23.22222222,52.30555556,0.381964427,7.577777778,0.841975309,5.067888889,1.988888889,32.25888889,4.279167328,26.85555556,11750
30C,1d,T2,61.02083333,22.22916667,83.25,0.677510735,41625,18.9375,41.4375,0.299240373,7.655555556,0.850617284,3.466888889,2.111111111,29.45866667,3.846915123,14.65555556,9468.75
30C,1d,T3,48.36111111,8.625,55.39583333,0.824828503,27697.91667,35.3125,95.4375,0.271459023,7.777777778,0.808641975,3.111,2.233333333,27.06266667,3.538320106,17.12222222,17656.25
30C,3d,T1,62.375,14.6875,77.0625,0.700273009,38531.25,2.8125,29.5,0.115873472,7.111111111,0.790123457,3.426111111,2.111111111,27.12277778,3.828927469,0.777777778,1406.25
30C,3d,T2,50.14583333,35.27083333,85.41666667,0.550859774,42708.33333,8.361111111,52.26388889,0.15647868,7.555555556,0.839506173,2.361666667,2.111111111,20.59111111,2.792649912,1.111111111,4425
30C,3d,T3,35.5,46.77083333,82.27083333,0.411249573,41135.41667,7.8125,53,0.110951928,7.833333333,0.870370371,2.635,2.055555556,25.48888889,3.304323192,5.444444444,3906.25
30C,4d,T1,64.22916667,12.39583333,76.625,0.817760547,38312.5,1.125,54.0625,0.012696766,7.833333333,0.870370371,3.293888889,2.111111111,23.78138889,3.072878968,0.5,562.5
30C,4d,T2,34.0625,35.875,69.9375,0.444958246,34968.75,1.5625,47.8125,0.031941177,7.833333333,0.870370371,3.550555556,2,21.875,2.8282403,3.277777778,781.25
30C,4d,T3,30.5,57.45833333,87.95833333,0.295777778,43979.16667,7.055555556,63.52777778,0.0913963,7.166666667,0.796296296,2.699444444,2.222222222,19.86222222,2.836495811,6.611111111,4325
34C,1d,T1,91.04166667,19.97916667,111.0208333,0.791425231,55510.41667,19.40277778,82.66666667,0.216671072,4.777777778,0.537037037,2.674333333,2.144444444,13.72566667,2.948185979,3.5,5912.5
34C,1d,T2,23.5,37.8125,61.3125,0.236001138,30656.25,2.1875,78.75,0.042872953,6.333333333,0.703703704,1.840555556,2.444444444,16.48,2.683505071,1.977777778,1093.75
34C,1d,T3,15.97916667,11.3125,27.29166667,0.22996115,13645.83333,15.1875,67.625,0.106095085,6.5,0.722222222,2.954666667,2.4,21.26466667,3.205618739,14.12222222,7593.75
34C,3d,T1,35.64583333,9.479166667,45.125,0.440079881,22562.5,0.5625,50,0.0078125,5.222222222,0.580246914,1.608,2.3,11.55988889,2.339272487,0,281.25
34C,3d,T2,11.10416667,69.85416667,80.95833333,0.142941039,40479.16667,0.055555556,61.51388889,0.000715899,5.638888889,0.62654321,1.413333333,2.055555556,14.03527778,2.518328263,1.111111111,50
34C,3d,T3,4.25,20.25,24.5,0.077855327,12250,0.375,57.75,0.002007225,5.322222222,0.591358025,2.273333333,2.2,15.71477778,3.401559524,7.544444444,187.5
34C,4d,T1,23.72916667,14.625,38.35416667,0.336161043,19177.08333,0.0625,51.1875,0.000657895,5.877777778,0.65308642,1.752611111,2.761111111,12.08322222,2.029465278,0,31.25
34C,4d,T2,2.354166667,58.04166667,60.1875,0.019437826,30093.75,0,35.0625,0,6.533333333,0.725925926,1.416666667,2.188888889,13.26,1.985193122,0.266666667,0
34C,4d,T3,0.104166667,3.125,3.229166667,0,1614.583333,1.263888889,42.54166667,0.017527669,6.111111111,0.679012346,2.116388889,2.333333333,13.61444444,2.199653439,4,862.5
